,Unnamed: 0,Year,Month,State,Primary Mode,Illnesses,Hospitalizations,Deaths,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F),Length of Genome,%GC,Protein Coding Genes,Genes Overall,tRNA Genes
0,0,2009,1,Massachusetts,Food,3,2.0,0.0,2009 1 Massachusetts,O157:H7,871,7800,0.96,0.905,39.0,25.0,5.59,50.45,"5,155","5,417",103
1,1,2010,7,Massachusetts,Other,2,2.0,0.0,2010 7 Massachusetts,O157:H7,871,7800,0.96,0.905,80.0,65.0,5.59,50.45,"5,155","5,417",103
2,2,2011,7,Massachusetts,Other,8,3.0,0.0,2011 7 Massachusetts,O157:H7,871,7800,0.96,0.905,80.0,65.0,5.59,50.45,"5,155","5,417",103
3,6,2012,4,Massachusetts,Food,2,1.0,1.0,2012 4 Massachusetts,O157:H7,871,7800,0.96,0.905,66.0,50.0,5.59,50.45,"5,155","5,417",103
4,7,2012,5,Massachusetts,Food,6,2.0,0.0,2012 5 Massachusetts,O157:H7,871,7800,0.96,0.905,76.0,60.0,5.59,50.45,"5,155","5,417",103
5,9,2001,5,Massachusetts,Food,8,6.0,0.0,2001 5 Massachusetts,O157:H7,871,7800,0.96,0.905,76.0,60.0,5.59,50.45,"5,155","5,417",103
6,11,2012,11,Massachusetts,Food,8,4.0,0.0,2012 11 Massachusetts,O157:H7,871,7800,0.96,0.905,41.0,28.0,5.59,50.45,"5,155","5,417",103
7,13,2007,10,Massachusetts,Food,9,1.0,0.0,2007 10 Massachusetts,O157:H7,871,7800,0.96,0.905,51.0,38.0,5.59,50.45,"5,155","5,417",103
8,14,2013,8,Massachusetts,Other,2,2.0,0.0,2013 8 Massachusetts,O157:H7,871,7800,0.96,0.905,72.0,57.0,5.59,50.45,"5,155","5,417",103
9,15,2000,8,Massachusetts,Food,5,,,2000 8 Massachusetts,O157:H7,871,7800,0.96,0.905,72.0,57.0,5.59,50.45,"5,155","5,417",103
10,16,2002,8,Massachusetts,Food,13,3.0,0.0,2002 8 Massachusetts,O157:H7,871,7800,0.96,0.905,72.0,57.0,5.59,50.45,"5,155","5,417",103
11,17,2014,6,Massachusetts,Food,4,2.0,1.0,2014 6 Massachusetts,O157:H7,871,7800,0.96,0.905,81.0,65.0,5.59,50.45,"5,155","5,417",103
12,18,2001,9,Massachusetts,Food,12,2.0,0.0,2001 9 Massachusetts,O157:H7,871,7800,0.96,0.905,61.0,47.0,5.59,50.45,"5,155","5,417",103
13,19,2002,9,Massachusetts,Food,66,2.0,0.0,2002 9 Massachusetts,O157:H7,871,7800,0.96,0.905,61.0,47.0,5.59,50.45,"5,155","5,417",103
14,20,2015,9,Massachusetts,Food,3,2.0,0.0,2015 9 Massachusetts,O157:H7,871,7800,0.96,0.905,61.0,47.0,5.59,50.45,"5,155","5,417",103
15,22,2017,3,Massachusetts,Food,16,9.0,0.0,2017 3 Massachusetts,O157:H7,871,7800,0.96,0.905,56.0,41.0,5.59,50.45,"5,155","5,417",103
16,23,2009,3,Connecticut,Food,60,5.0,0.0,2009 3 Connecticut,O157:H7,741,4842,0.957,0.9109999999999999,58.0,41.0,5.59,50.45,"5,155","5,417",103
17,28,2005,1,Connecticut,Food,7,3.0,0.0,2005 1 Connecticut,O157:H7,741,4842,0.957,0.9109999999999999,40.0,25.0,5.59,50.45,"5,155","5,417",103
18,32,2016,10,Connecticut,Food,5,2.0,0.0,2016 10 Connecticut,O157:H7,741,4842,0.957,0.9109999999999999,53.0,38.0,5.59,50.45,"5,155","5,417",103
