Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Animal Type Specify,Water Status
2009,1,Massachusetts,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,3,2,3,0,3,"ground beef, hamburger",,Beef,,,,,
2009,3,Connecticut,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Office/indoor workplace,60,5,60,0,60,chicken tenders,,Multiple,,,,,
2009,4,Ohio,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,3,2,3,0,3,"ground beef, cheeseburger",,Beef,,,,,
2009,6,Minnesota,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,4,0,4,0,4,potato salad,,Multiple,,,,,
2009,5,Wisconsin,Food,"Escherichia coli, Enterotoxigenic",,Confirmed,,8,0,8,0,8,,,,,,,,
2009,6,Minnesota,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,2,1,2,0,2,steak,,Beef,,,,,
2009,6,Minnesota,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Caterer (food prepared off-site from where served); Grocery store,16,3,16,0,16,,,,,,,,
2009,6,Ohio,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,Private home/residence,2,2,2,0,2,"ground beef, hamburger",,Beef,,,,,
2009,5,Florida,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,30,0,28,0,28,,,,,,,,
2009,6,Indiana,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,3,1,3,0,3,,,,,,,,
2009,7,Ohio,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,Camp,3,1,3,0,3,,,,,,,,
2009,7,Oregon,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,3,0,3,0,3,,,,,,,,
2009,3,Michigan,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,4,1,4,0,4,"lamb; beef, unspecified",,Multiple,,,,,
2009,7,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,0,2,0,2,"ground beef, hamburger",ground beef,Beef,,,,,
2009,7,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,2,2,2,0,2,"ground beef, hamburger",ground beef,Beef,,,,,
2009,7,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,3,1,3,0,3,"ground beef, hamburger",ground beef,Beef,,,,,
2009,7,South Dakota,Person-to-person,"Escherichia coli, Shiga toxin-producing",O111,Confirmed,,11,4,11,0,11,,,,,,,,
2009,6,Wisconsin,Water,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Park - State Park,7,1,7,0,7,,,,Recreational water -- untreated,Lake/Reservoir/Impoundment,,,Reviewed
2009,8,Minnesota,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,6,1,6,0,6,beef,,Beef,,,,,
2009,8,Minnesota,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,1,3,0,3,"beef, unspecified",,Beef,,,,,
2009,8,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Camp,2,1,2,0,2,beef,beef,Beef,,,,,
2009,5,Washington,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,5,2,5,0,5,,,,,,,,
2009,7,Utah,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,21,4,16,0,21,,,,,,,,
2009,9,Minnesota,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,2,0,0,0,0,,,,,,,,
2009,8,Ohio,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,11,4,11,0,11,"ice cream, homemade",,Multiple,,,,,
2009,9,Illinois,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,4,2,4,0,4,guacamole,,Multiple,,,,,
2009,8,Minnesota,Animal Contact,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,3,2,3,0,3,,,,,,Cattle,"Cattle, calf",
2009,8,Oregon,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Other, specify",2,0,2,0,2,,,,,,,,
2009,9,Oregon,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Other, specify",4,1,4,0,4,,,,,,,,
2009,1,Colorado,Animal Contact,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,19,6,19,0,19,,,,,,Cattle,Calves,
2009,5,Colorado,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,3,2,3,0,3,,,,,,,,
2009,7,Texas,Food,"Escherichia coli, Enterotoxigenic",unknown,Confirmed,Restaurant - Sit-down dining,58,0,45,0,58,guacamole,,Multiple
2009,11,Maryland,Food,"Escherichia coli, Enteroaggregative; Escherichia coli, Enterotoxigenic; Shigella sonnei",unknown; unknown; ,Confirmed; Confirmed; Confirmed,Caterer (food prepared off-site from where served),12,0,12,0,12,,,
2009,9,Washington,Food,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",O157:H7; O121,Suspected; Confirmed,,3,0,3,0,3,"milk, whole milk unpasteurized",,Dairy
2009,12,South Dakota,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,4,4,4,0,4,,,
2009,11,South Carolina,Indeterminate/Other/Unknown,"Escherichia coli, Enteropathogenic",O157,Suspected,,4,0,4,0,4,,,
2009,9,Oregon,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,4,2,4,0,4,,,
2010,2,Tennessee,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,3,0,3,0,3,"milk, whole milk unpasteurized",,Dairy
2010,2,Tennessee,Food,"Norovirus Genogroup II; Escherichia coli, Shiga toxin-producing",GII.4 New Orleans; unknown,Confirmed; Suspected,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),18,0,18,0,18,coleslaw,,Multiple
2009,9,Washington,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,4,1,4,0,4,,,
2009,9,Washington,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,2,1,2,0,2,,,
2009,7,Washington,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,12,2,12,0,12,,,
2009,12,Colorado,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O121,Suspected,,2,0,2,0,2,,,
2009,5,Missouri,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Child day care,12,2,12,0,12,,,
2010,2,Washington,Food,"Escherichia coli, Shiga toxin-producing",O26:H11,Confirmed,Other,6,0,4,0,6,"milk, whole milk unpasteurized",,Dairy
2009,8,Colorado,Person-to-person,"Salmonella enterica; Escherichia coli, Shiga toxin-producing",Typhimurium; O157:H7,Confirmed; Suspected,Child day care,9,1,9,0,9,,,
2009,6,Colorado,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:NM (H-),Confirmed,Child day care,13,1,8,0,13,,,
2009,2,Colorado,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Child day care,13,0,13,0,13,,,,,,,,
2009,7,Wyoming,Food,"Escherichia coli, Shiga toxin-producing",O111,Confirmed,Private home/residence,2,0,2,0,2,,,,,,,,
2010,5,Minnesota,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,8,5,8,0,8,dairy,,Dairy,,,,,
2010,6,Arkansas,Water,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Public Outdoor Area,5,3,3,0,3,,,,Recreational water -- untreated,River/Stream,,,Reviewed
2010,1,California,Food,"Escherichia coli, Enterotoxigenic",O6:H16,Suspected,Banquet Facility (food prepared and served on-site),19,0,19,0,19,"sandwich, unspecified; potato salad",,Multiple,,,,,
2010,6,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,3,1,3,1,3,,,,,,,,
2009,9,California,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Child day care,3,2,3,0,3,,,,,,,,
2010,7,Iowa,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Child day care,7,0,7,0,7,,,,,,,,
2010,6,Tennessee,Water,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Club (Requires Membership),14,4,4,0,0,,,,Recreational water -- treated,Pool - Swimming Pool,,,Reviewed
2010,7,Minnesota,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Unknown,11,4,11,0,11,mexican wheat snack,,Multiple,,,,,
2010,3,Hawaii,Food,"Escherichia coli, Shiga toxin-producing",O157,Confirmed,Restaurant - Sit-down dining,7,4,7,0,7,,,,,,,,
2010,8,Wisconsin,Animal Contact,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,7,3,7,0,7,,,,,,Cattle; Sheep or goats,Calves; Sheep,
2010,4,Arizona,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,5,1,4,0,4,,,,,,,,
2010,6,Oregon,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Unknown,4,4,4,0,4,,,,,,,,
2010,8,Oregon,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,Private home/residence,3,1,3,0,3,,,,,,,,
2010,7,Pennsylvania,Person-to-person,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",O157:H7; O157:NM (H-),Suspected; Suspected,Private home/residence,2,1,2,0,2,,,,,,,,
2010,8,Tennessee,Food,"Escherichia coli, Enteroaggregative; Campylobacter other",unknown; ,Confirmed; Confirmed,Private home/residence,6,1,6,0,6,"bbq, unspecified; chicken, bbq; sausage",,Multiple
2010,8,Washington,Animal Contact,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,3,2,3,0,3,,,
2010,8,Georgia,Food,"Campylobacter unknown; Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed; Confirmed,Prison/jail,16,7,16,0,16,,,
2010,8,Oregon,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Other, specify",3,2,3,0,3,,,
2010,8,Colorado,Person-to-person,"Escherichia coli, Shiga toxin-producing",O26,Confirmed,,21,0,0,0,0,,,
2010,3,Washington,Person-to-person,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Child day care,21,4,21,1,21,,,
2010,6,Washington,Person-to-person,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",O26:H11; O26:NM,Confirmed; Confirmed,Child day care,24,0,24,0,24,,,
2010,6,Colorado,Food,"Escherichia coli, Shiga toxin-producing; Campylobacter jejuni",O157:H7; ,Confirmed; Confirmed,Other,30,2,30,0,30,"goat milk, unpasteurized","goat milk, unpasteurized",Dairy
2010,6,Utah,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,4,0,2,0,3,,,
2010,9,Oregon,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Other, specify",7,3,7,0,7,,,
2010,2,California,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Unknown,7,0,7,0,7,"ground beef, unspecified",,Beef
2010,10,Oregon,Person-to-person,"Escherichia coli, Shiga toxin-producing",O26,Confirmed,Child day care,11,0,11,0,11,,,
2010,6,Oregon,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Other, specify",11,2,11,0,11,,,
2010,3,Colorado,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,2,1,2,0,2,,,
2010,5,Colorado,Person-to-person,"Escherichia coli, Shiga toxin-producing",O26,Confirmed,Child day care,47,0,45,0,45,,,
2010,10,Colorado,Indeterminate/Other/Unknown,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,,6,1,6,0,6,,,
2010,5,Washington,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Other,2,1,2,0,2,"milk, whole milk unpasteurized",,Dairy,,,,,
2010,9,Idaho,Food,"Escherichia coli, Shiga toxin-producing",O121:H19,Confirmed,"Fair, festival, other temp or mobile services",6,3,6,0,6,,,,,,,,
2010,10,Oklahoma,Animal Contact,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,3,2,3,0,3,,,,,,Sheep or goats; Sheep or goats; Sheep or goats,"Goat; Goat, kid; Sheep",
2010,11,Oklahoma,Food,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",O157:H7; O84:NM,Confirmed; Confirmed,Prison/jail,21,0,21,0,21,multiple foods,,Unclassifiable,,,,,
2010,11,Minnesota,Food,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",O103:H2; O145:NM,Confirmed; Confirmed,School/college/university,29,2,29,0,29,venison,venison,Game,,,,,
