,Year,Month,State,Primary Mode,Illnesses,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F),Length of Genome,%GC,Protein Coding Genes,Genes Overall,tRNA Genes
0,2009,1,Massachusetts,Food,3,2009 1 Massachusetts,O157:H7,871,7800,0.96,0.905,39,25,5.59,50.45,5155,5417,103
1,2010,7,Massachusetts,Other,2,2010 7 Massachusetts,O157:H7,871,7800,0.96,0.905,80,65,5.59,50.45,5155,5417,103
2,2011,7,Massachusetts,Other,8,2011 7 Massachusetts,O157:H7,871,7800,0.96,0.905,80,65,5.59,50.45,5155,5417,103
3,2012,4,Massachusetts,Food,2,2012 4 Massachusetts,O157:H7,871,7800,0.96,0.905,66,50,5.59,50.45,5155,5417,103
4,2012,5,Massachusetts,Food,6,2012 5 Massachusetts,O157:H7,871,7800,0.96,0.905,76,60,5.59,50.45,5155,5417,103
5,2001,5,Massachusetts,Food,8,2001 5 Massachusetts,O157:H7,871,7800,0.96,0.905,76,60,5.59,50.45,5155,5417,103
6,2012,11,Massachusetts,Food,8,2012 11 Massachusetts,O157:H7,871,7800,0.96,0.905,41,28,5.59,50.45,5155,5417,103
7,2007,10,Massachusetts,Food,9,2007 10 Massachusetts,O157:H7,871,7800,0.96,0.905,51,38,5.59,50.45,5155,5417,103
8,2013,8,Massachusetts,Other,2,2013 8 Massachusetts,O157:H7,871,7800,0.96,0.905,72,57,5.59,50.45,5155,5417,103
9,2000,8,Massachusetts,Food,5,2000 8 Massachusetts,O157:H7,871,7800,0.96,0.905,72,57,5.59,50.45,5155,5417,103
10,2002,8,Massachusetts,Food,13,2002 8 Massachusetts,O157:H7,871,7800,0.96,0.905,72,57,5.59,50.45,5155,5417,103
11,2014,6,Massachusetts,Food,4,2014 6 Massachusetts,O157:H7,871,7800,0.96,0.905,81,65,5.59,50.45,5155,5417,103
