,Year,Month,State,Primary Mode,Illnesses,Hospitalizations,Deaths,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F)
0,2009,1,Massachusetts,Food,3,2.0,0.0,2009 1 Massachusetts,O157:H7,871,7800,0.96,0.905,39.0,25.0
1,2010,7,Massachusetts,Other,2,2.0,0.0,2010 7 Massachusetts,O157:H7,871,7800,0.96,0.905,80.0,65.0
2,2011,7,Massachusetts,Other,8,3.0,0.0,2011 7 Massachusetts,O157:H7,871,7800,0.96,0.905,80.0,65.0
3,2002,7,Massachusetts,Food,5,3.0,0.0,2002 7 Massachusetts,O157:NM,871,7800,0.96,0.905,80.0,65.0
4,2002,7,Massachusetts,Food,5,3.0,0.0,2002 7 Massachusetts,(H-),871,7800,0.96,0.905,80.0,65.0
5,2006,7,Massachusetts,Food,5,1.0,0.0,2006 7 Massachusetts,O26,871,7800,0.96,0.905,80.0,65.0
6,2012,4,Massachusetts,Food,2,1.0,1.0,2012 4 Massachusetts,O157:H7,871,7800,0.96,0.905,66.0,50.0
7,2012,5,Massachusetts,Food,6,2.0,0.0,2012 5 Massachusetts,O157:H7,871,7800,0.96,0.905,76.0,60.0
8,2012,5,Massachusetts,Other,2,0.0,0.0,2012 5 Massachusetts,O26,871,7800,0.96,0.905,76.0,60.0
9,2001,5,Massachusetts,Food,8,6.0,0.0,2001 5 Massachusetts,O157:H7,871,7800,0.96,0.905,76.0,60.0
10,2016,5,Massachusetts,Other,2,1.0,0.0,2016 5 Massachusetts,O126,871,7800,0.96,0.905,76.0,60.0
11,2012,11,Massachusetts,Food,8,4.0,0.0,2012 11 Massachusetts,O157:H7,871,7800,0.96,0.905,41.0,28.0
12,2013,10,Massachusetts,Other,2,,,2013 10 Massachusetts,O121,871,7800,0.96,0.905,51.0,38.0
13,2007,10,Massachusetts,Food,9,1.0,0.0,2007 10 Massachusetts,O157:H7,871,7800,0.96,0.905,51.0,38.0
14,2013,8,Massachusetts,Other,2,2.0,0.0,2013 8 Massachusetts,O157:H7,871,7800,0.96,0.905,72.0,57.0
15,2000,8,Massachusetts,Food,5,,,2000 8 Massachusetts,O157:H7,871,7800,0.96,0.905,72.0,57.0
16,2002,8,Massachusetts,Food,13,3.0,0.0,2002 8 Massachusetts,O157:H7,871,7800,0.96,0.905,72.0,57.0
17,2014,6,Massachusetts,Food,4,2.0,1.0,2014 6 Massachusetts,O157:H7,871,7800,0.96,0.905,81.0,65.0
18,2001,9,Massachusetts,Food,12,2.0,0.0,2001 9 Massachusetts,O157:H7,871,7800,0.96,0.905,61.0,47.0
19,2002,9,Massachusetts,Food,66,2.0,0.0,2002 9 Massachusetts,O157:H7,871,7800,0.96,0.905,61.0,47.0
20,2015,9,Massachusetts,Food,3,2.0,0.0,2015 9 Massachusetts,O157:H7,871,7800,0.96,0.905,61.0,47.0
21,2017,9,Massachusetts,Food,4,2.0,0.0,2017 9 Massachusetts,O45:H2,871,7800,0.96,0.905,61.0,47.0
22,2017,3,Massachusetts,Food,16,9.0,0.0,2017 3 Massachusetts,O157:H7,871,7800,0.96,0.905,56.0,41.0
23,2009,3,Connecticut,Food,60,5.0,0.0,2009 3 Connecticut,O157:H7,741,4842,0.9570000000000001,0.911,58,41
24,2016,3,Connecticut,Other,50,7.0,0.0,2016 3 Connecticut,O157,741,4842,0.9570000000000001,0.911,58,41
25,2016,3,Connecticut,Other,50,7.0,0.0,2016 3 Connecticut,O103,741,4842,0.9570000000000001,0.911,58,41
26,1999,7,Connecticut,Food,17,7.0,0.0,1999 7 Connecticut,O157:NM,741,4842,0.9570000000000001,0.911,81,66
27,1999,7,Connecticut,Food,17,7.0,0.0,1999 7 Connecticut,(H-),741,4842,0.9570000000000001,0.911,81,66
28,2005,1,Connecticut,Food,7,3.0,0.0,2005 1 Connecticut,O157:H7,741,4842,0.9570000000000001,0.911,40,25
29,2008,6,Connecticut,Food,14,5.0,0.0,2008 6 Connecticut,O157:NM,741,4842,0.9570000000000001,0.911,82,66
30,2008,6,Connecticut,Food,14,5.0,0.0,2008 6 Connecticut,(H-),741,4842,0.9570000000000001,0.911,82,66
31,2016,4,Connecticut,Food,7,0.0,0.0,2016 4 Connecticut,O121,741,4842,0.9570000000000001,0.911,68,51
32,2016,10,Connecticut,Food,5,2.0,0.0,2016 10 Connecticut,O157:H7,741,4842,0.9570000000000001,0.911,53,38
33,2009,7,Ohio,Other,3,1.0,0.0,2009 7 Ohio,O157:H7,284,40861,0.917,0.874,84,63
34,2011,7,Ohio,Other,2,2.0,0.0,2011 7 Ohio,O111,284,40861,0.917,0.874,84,63
35,2010,7,Ohio,Food,8,3.0,0.0,2010 7 Ohio,O157:H7,284,40861,0.917,0.874,84,63
36,2012,7,Ohio,Food,77,14.0,1.0,2012 7 Ohio,O157:H7,284,40861,0.917,0.874,84,63
37,2012,7,Ohio,Other,4,2.0,0.0,2012 7 Ohio,O111,284,40861,0.917,0.874,84,63
38,2013,7,Ohio,Other,5,0.0,0.0,2013 7 Ohio,O111,284,40861,0.917,0.874,84,63
39,2014,7,Ohio,Other,2,1.0,0.0,2014 7 Ohio,O157:H7,284,40861,0.917,0.874,84,63
